Name,Team,Age,Projected_PA,HR_Park_Factor,marcel_hr_rate,Injury_Risk_Mult,Recent_Power_Trend,age_multiplier,HR_rate_final,Projected_HR,Downside_HR,Upside_HR
Shohei Ohtani,LAD,31,668.2,100.0,0.0692,0.98,0.0005,0.988,0.095,63.5,57.1,69.8
Juan Soto,NYM,27,690.2,100.0,0.0535,1.0,0.0114,1.012,0.0892,61.6,55.4,67.7
Kyle Schwarber,PHI,33,658.7,100.0,0.0627,1.0,0.0153,0.96,0.0902,59.4,53.5,65.4
Aaron Judge,NYY,34,597.3,100.0,0.0735,0.98,-0.0034,0.92,0.095,56.7,51.1,62.4
Pete Alonso,NYM,31,655.4,100.0,0.0528,1.0,0.0041,0.988,0.084,55.1,49.6,60.6
Cal Raleigh,SEA,29,631.7,100.0,0.0631,1.0,0.0151,1.0,0.0851,53.7,48.4,59.1
Corbin Carroll,ARI,25,654.6,100.0,0.0392,1.0,0.0136,1.022,0.0723,47.3,42.6,52.0
Bobby Witt Jr.,KCR,26,684.4,100.0,0.0388,1.0,-0.0049,1.012,0.0691,47.3,42.6,52.0
Rafael Devers,- - -,29,660.5,100.0,0.046,1.0,-0.0088,1.0,0.0689,45.5,41.0,50.1
Michael Busch,CHC,28,575.6,100.0,0.0454,0.98,0.0194,1.0,0.0786,45.2,40.7,49.7
Matt Olson,ATL,32,673.5,100.0,0.0474,1.0,-0.0155,0.96,0.0669,45.0,40.5,49.5
Nick Kurtz,ATH,23,515.8,100.0,0.0598,0.91,0.0,1.04,0.0852,43.9,39.5,48.3
Vladimir Guerrero Jr.,TOR,27,682.1,100.0,0.0372,1.0,-0.001,1.012,0.0642,43.8,39.4,48.2
Jo Adell,LAA,27,533.5,100.0,0.0516,0.95,0.0205,1.012,0.0809,43.2,38.8,47.5
Brent Rooker,ATH,31,608.0,100.0,0.0497,0.98,0.0002,0.988,0.0681,41.4,37.2,45.5
Julio Rodriguez,SEA,25,677.1,100.0,0.04,1.0,0.0012,1.022,0.0611,41.4,37.2,45.5
Ketel Marte,ARI,32,566.1,100.0,0.0481,0.98,0.0168,0.96,0.0721,40.8,36.7,44.9
James Wood,WSN,23,576.8,100.0,0.0382,0.95,0.0084,1.04,0.0707,40.8,36.7,44.8
Manny Machado,SDP,33,608.8,100.0,0.0423,1.0,0.0033,0.96,0.0658,40.1,36.1,44.1
Fernando Tatis Jr.,SDP,27,615.6,100.0,0.0387,0.98,-0.0041,1.012,0.065,40.0,36.0,44.0
Junior Caminero,TBR,22,494.5,100.0,0.0555,0.91,0.0169,1.04,0.0798,39.5,35.5,43.4
Corey Seager,TEX,32,502.0,100.0,0.0505,0.95,-0.0091,0.96,0.0769,38.6,34.8,42.5
Seiya Suzuki,CHC,31,601.3,100.0,0.04,0.98,0.0043,0.988,0.063,37.9,34.1,41.7
Yordan Alvarez,HOU,29,446.9,100.0,0.0484,0.91,-0.0157,1.0,0.0812,36.3,32.7,39.9
Riley Greene,DET,25,587.2,100.0,0.0431,0.95,0.0005,1.022,0.0617,36.3,32.6,39.9
